bin,exam_exercise,line
69e77029aaba88219721115e,EX1,"Passer aux croquettes Royal Canin Satiety, 365g de croquettes par jour"
69e77029aaba88219721115e,EX1,Réaliser deux à trois repas par jours
69e7702baaba882197211193,EX2,Ration ménagère pour Mochi avec :
69e7702baaba882197211193,EX2,Source de fibre : haricot vert
69e7702baaba882197211193,EX2,Source de lipides : huile de colza
69e7704faaba882197211282,EX2,Servir entre 27 et 30 degrés
69e7704faaba882197211282,EX1,L’alimentation actuelle d’Isopp entraîne un dépassement du besoin énergétique important ce qui peut expliquer son surpoids
69e7704faaba882197211282,EX1,Ses croquettes sont très denses énergétiquement
69e7705e36566621a8d793b2,EX1,"D'après l'analyse de la ration actuelle et de l'observation clinique d'Isopp on constate que son alimentation lui apporte trop d'energie, sa ration dépasse son besoin énergétique journalier par conséquent nous devons mettre en place une nouvelle alimentation"
69e7706e856a68218958e325,EX1,"Changement d'alimentation vers des croquettes moins denses énergétiquement, les Satiety de Royal Canin semblent adaptées"
69e770a236566621a8d794fb,EX1,"Humidifié des croquettes si manque d'appétence, proposé les croquettes à la main"
69e770a236566621a8d794fb,EX1,Mettre des enrichissements en place
69e770a236566621a8d794fb,EX2,mettre en place des enrichissements et lui proposé la ration
69e770a6aaba8821972113fd,EX1,Nous conseillerons alors les croquettes Satiety si vous souhaitez rester chez Royal Canin
69e770a6aaba8821972113fd,EX1,"Enfin, si le chien réclame toujours, on peut rajouter des haricots verts dans sa gamelle pour lui donner l'impression de manger davantage sans que ce soit calorique"
69e770c536566621a8d7959c,EX1,Nécessaire d'avoir accès en permanence à de l'eau
69e770c536566621a8d7959c,EX1,Donner à plusieurs reprises dans la journée et pas d'un seul coup
69e770c536566621a8d7959c,EX2,Nécessaire d'avoir accès en permanence à de l'eau
69e770e7856a68218958e50f,EX2,utiliser une gamelle anti-gloutons si nécéssaire
69e770e7856a68218958e50f,EX2,Ne pas complémenter en pâté et ne donner que la ration ménagère
69e770ef856a68218958e535,EX1,"Pour pallier à cela, nous pouvons proposer à Isopp de passer sur la gamme Royal Canin Adult Large Dog"
69e770ef856a68218958e535,EX1,"De plus, elles sont plus denses en protéines"
69e770ef856a68218958e535,EX1,Les protéines et l'augmentation de la taille de la ration auront un effet satiétogène pour Isopp
69e770ef856a68218958e535,EX1,Conseils:
69e770ef856a68218958e535,EX2,4g d'huile de colza
69e770f0aaba882197211565,EX1,"Diminuer la dose, pour revenir à un poids de forme"
69e770fe36566621a8d79693,EX1,Cette ration est beaucoup moins calorique et plus satietaire ce qui devrait lui faire perdre du poids et réduire sa faim
69e770fe36566621a8d79693,EX1,Mettre en rapport social pour encourager Isopp à manger si possible
69e770fe36566621a8d79693,EX2,Haricot APPERTISÉ (apport en sel)
69e770fe36566621a8d79693,EX2,Faire attention au tri
69e7715936566621a8d7987b,EX2,1/4 de la nouvelle
69e7715936566621a8d7987b,EX2,2j : 1/2 de chaque
69e7715936566621a8d7987b,EX2,2j : 1/4 de l'ancienne
69e7715936566621a8d7987b,EX2,3/4 de la nouvelle
69e7715936566621a8d7987b,EX1,1/4 de la nouvelle
69e7715936566621a8d7987b,EX1,2j : 1/2 de chaques
69e7715936566621a8d7987b,EX1,2j : 1/4 de l'ancienne
69e7715936566621a8d7987b,EX1,3/4 de la nouvelle
69e7715baaba8821972117a2,EX1,Faire un suivie (clinique)
69e7715baaba8821972117a2,EX2,Faire un suivie
69e7715d36566621a8d79899,EX1,2 jours 50/50
69e7715d36566621a8d79899,EX1,2 jours 25/75)
69e7715d36566621a8d79899,EX1,Laissez de l'eau à disposition
69e7715d36566621a8d79899,EX1,On peut améliorer l'appétence de la ration en l'humidifiant
69e7715d36566621a8d79899,EX2,Nous joignons à l'ordonnance la ration ménagère proposée
69e7715d36566621a8d79899,EX2,Voici quelques recommendations à suivre pour Mochi :
69e7715e36566621a8d798a6,EX1,"Surveiller le poids d'Isopp, en le pesant toutes les deux semaines"
69e7716d856a68218958e7df,EX2,Pour cette ration ménagère :
69e77170aaba88219721182d,EX1,"Il est possible de diviser ses repas pour qu'il mange un plus grand nombre de fois par jour (par exemple passer à 3 repas/jour), sans augmenter la dose prescrite"
69e77172aaba882197211838,EX1,Conseils:
69e77172aaba882197211838,EX1,Bien respecter les quantités
69e77172aaba882197211838,EX2,Conseils:
69e7718faaba8821972118e1,EX1,Conseils :
69e7718faaba8821972118e1,EX1,Les promenades quotidiennes sont recommandées
69e7718faaba8821972118e1,EX2,Ration ménagère
69e771ab856a68218958e931,EX1,Donner à la main peut augmenter l’appétence
69e771bfaaba8821972119b0,EX1,Pour diminuer la sentation de faim :
69e771d336566621a8d79ad1,EX1,"C'est un mâle castré, il faudrait donc le nourrir avec un aliment pour chien stérilisé"
69e771d336566621a8d79ad1,EX2,Il faudrait néanmoins enrichir l'intérieur pour ses dépenses énergetiques
69e771edaaba882197211a4d,EX1,Conseils nutritionnels :
69e771edaaba882197211a4d,EX2,Préparation de la ration :
69e771edaaba882197211a4d,EX2,Ne pas congeler après avoir préparé la ration
69e771edaaba882197211a4d,EX2,Conseils nutritionnels :
69e771fdaaba882197211a98,EX1,ne pas trop donner de friandises et favoriser les promenades
69e77206856a68218958ea95,EX1,On propose une alimentation à base de croquettes et d'aliment humide
69e77206856a68218958ea95,EX1,"On donne deux repas par jour, un le matin et un autre le soir"
69e77206856a68218958ea95,EX2,Ne pas saler
69e7723baaba882197211b9f,EX1,"Proposer plus de sorties, essayer les sports canin"
69e77285aaba882197211d47,EX1,Mettre des croquettes (cachée) dans des jouets
69e772b3aaba882197211e61,EX2,Laisser de l’eau frâche à volonté
69e772ccaaba882197211ee8,EX2,a volonté
69e772ccaaba882197211ee8,EX2,ne pas mettre dans les jouets pour des questions d'humidité
69e772e4aaba882197211f45,EX2,Pour cette ration ménagère :
69e7731eaaba882197212031,EX2,Faire attention au tri des aliments lors des repas
69e7736136566621a8d7a1d7,EX2,peut remplacer le colin par du poule
69e7736136566621a8d7a1d7,EX2,peut remplacer haricot par des courgettes
69e7736136566621a8d7a1d7,EX2,servir entre 27 et 30 degrés
69e7736136566621a8d7a1d7,EX2,haricot soit en boite de conserve soit frais avec du sel
69e7736136566621a8d7a1d7,EX2,(quantité de colin semble élevé et quantité de haricot semble faible ?)
69e77382aaba8821972121d2,EX2,Attendre que la ration refroidisse avant de la donner au chat
69e773ad856a68218958f27a,EX2,Divisée la prise de repas
69e773b3856a68218958f2dd,EX1,"Si presence d'autres chien favoriser la consomation d'aliment ensemble, espece sociale"
69e773b6aaba882197212355,EX1,essayer de sortir un peu plus et de le stimuler
69e773b6aaba882197212355,EX2,ajoutez ensuite huile de colza et Vt'i5
69e773b8856a68218958f303,EX1,Passage à une alimentation mixte : 1 boîte de pâtée (Royal Canin Neutered Adult humide)+ 145g de croquettes (Royal Canin Satiety)
69e773b8856a68218958f303,EX1,Toujours veiller à laisser de l'eau accessible et à volonté
69e773b8856a68218958f303,EX1,Surveiller régulièrement le poids (1 fois par semaine)
69e773ba856a68218958f315,EX1,Conseils nutritionnels :
69e773ba856a68218958f315,EX1,enrichissements
69e773ba856a68218958f315,EX2,Conseils nutritionnels :
69e773ba856a68218958f315,EX2,enrichissements
69e773d636566621a8d7a4b3,EX1,Changement de la ration alimentaire : 250 g/jour de croquettes Virbac
69e773db856a68218958f3cc,EX1,Essayer de faire 1h de ballade tranquille par jour
69e773e1856a68218958f3ea,EX1,"Ainsi votre chien mangera beaucoup plus en quantité, aura donc moins faim et prendra moins de poids (couverture énergétique de 100% pour cette ration contre 158% pour la ration précédente)"
69e773eeaaba882197212485,EX1,Etaler la prise de la ration sur la journée
69e7744baaba8821972125e7,EX1,Donc nous cherchons des croquettes avec une densité calorique plus faible pour ne pas a avoir à diminuer la quantité de croquette donné
69e7744baaba8821972125e7,EX1,on peut se focaliser sur les croquettes sterilisé pour diminuer la densité energétique
69e7744baaba8821972125e7,EX1,"sur 44, le royal canin etait le 7 eme plus dense énergétiquement"
69e7744baaba8821972125e7,EX1,(si je voulais mettre de l'aliment humide il aurait fallu que ce soit de la même marque mais je n'ai pas trouvé et je n'ai plus le temps)
69e7744baaba8821972125e7,EX1,Vérifier dans le mois qui arrive la bonne prise de nourriture et l'état moral et physique du chien
69e77464aaba882197212657,EX2,Veiller à ce que le chat ne fasse pas de tri
69e77464aaba882197212657,EX2,Vérifier que le chat s'hydrate bien
69e77494856a68218958f6c3,EX1,On remarque que les croquettes d'Isopp lui apporte trop d'énergie et que le taux de protéines est un peu bas
69e77494856a68218958f6c3,EX1,"Pour cela, on conseille de :"
69e77494856a68218958f6c3,EX1,donner les croquettes Satiety de chez Royal Canin avec 375 g/jour
69e77494856a68218958f6c3,EX2,"Voir la ration ménagère avec les quantités dans ""Rations"""
69e77494856a68218958f6c3,EX2,Conseils :
69e774bd856a68218958f76e,EX1,sur l'espace d'une semaine
69e774bd856a68218958f76e,EX1,"Donner les nouvelles croquettes à la main au début ou comme des friandises, puis faire un mélange dans la gamelle avec les croquettes acuelles (respecter les 300g), jusqu'à mettre 300g que des nouvelles croquettes"
69e774bd856a68218958f76e,EX2,Croquettes adaptés aux chats adultes stérilisés
69e774ef856a68218958f8ee,EX1,si encore trop faim consulter et se pencher sur un aliment encore plus proteiné
69e774ef856a68218958f8ee,EXO2,trasktion alimentaire wur 6 jours
69e774ef856a68218958f8ee,EXO2,fractioner lesrepas
69e7761636566621a8d7af46,EX1,donner le tout en deux repas dans la journée
